#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h58 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2632;42.8481;1.4088;A2;H1;2.23;2.85;0.1;0;
2633;42.8489;1.5065;A2;H1;3.44;9.75;0.25;0;
2634;42.8497;1.6041;A2;H1;3.87;12.6;0.2;0;
2635;42.8503;1.7018;A2;H1;3.01;6.4;0.05;0;
2636;42.8508;1.7995;A2;H1;3.15;7.5;0.15;0;
2637;42.8513;1.8971;A2;H1;3.35;7.8;0;0;
2638;42.8516;1.9948;A2;H1;4.22;16.05;0.1;0;
2639;42.8519;2.0924;A2;H1;4.36;16.65;0.1;0;
2640;42.8521;2.1901;A2;H1;5.91;30.15;1.55;0.05;
2641;42.8522;2.2877;A2;H1;5.01;19.85;0.4;0;
2642;42.8522;2.3854;A2;H1;6.11;29.95;1.5;0;
2643;42.8521;2.4831;A2;H1;7.24;40.3;3.6;0.1;
2644;42.8519;2.5807;A2;H1;8.17;48.55;6.85;0.5;
2645;42.8516;2.6784;A2;H1;9.17;59;10.5;1.3;
2646;42.8513;2.776;A2;H1;16.43;113.9;30.8;9.9;
2647;42.8508;2.8737;A2;H1;19.03;137.4;41.8;14.8;
2648;42.8503;2.9714;A2;H1;24.25;173.85;66.35;27.4;
2711;42.637;9.1072;A2;H1;11.84;74.85;15.8;4.05;
2712;42.6308;9.2042;A2;H1;9.73;54.5;5.85;1.05;
2713;42.6245;9.3011;A2;H1;10.74;68.8;5.8;0.9;
2714;42.6181;9.398;A2;H1;8.56;42.35;3.1;0.1;
2754;42.8824;-0.6444;A2;H1;2.03;2.2;0;0;
2755;42.8851;-0.5467;A2;H1;2.05;2.5;0;0;
2756;42.8877;-0.4491;A2;H1;1.98;2;0;0;
2757;42.8902;-0.3514;A2;H1;2.13;1.45;0;0;
2758;42.8926;-0.2537;A2;H1;2.01;1.7;0.15;0;
2759;42.895;-0.156;A2;H1;2.37;3.95;0.25;0;
2760;42.8972;-0.0584;A2;H1;2.64;5.8;0.45;0.05;
2761;42.8993;0.0393;A2;H1;2.34;3.6;0.25;0;
2762;42.9014;0.137;A2;H1;2.44;2.7;0.2;0;
2763;42.9034;0.2348;A2;H1;2.38;4.05;0.35;0;
2764;42.9052;0.3325;A2;H1;3.15;8.6;0.25;0;
2765;42.907;0.4302;A2;H1;2.64;5;0.2;0;
2766;42.9087;0.5279;A2;H1;2.97;6.9;0;0;
2767;42.9103;0.6257;A2;H1;3.37;8.35;0.25;0;
2768;42.9118;0.7234;A2;H1;2.62;6.05;0.25;0;
2769;42.9133;0.8211;A2;H1;2.64;6.1;0.25;0;
2770;42.9146;0.9189;A2;H1;2.51;4.4;0.2;0;
2771;42.9159;1.0166;A2;H1;2.97;6.8;0.2;0;
2772;42.917;1.1144;A2;H1;2.69;5.35;0.05;0;
2773;42.9181;1.2122;A2;H1;2.94;6.8;0.2;0;
2774;42.9191;1.3099;A2;H1;2.57;4.55;0.1;0;
2775;42.92;1.4077;A2;H1;2.42;3.75;0;0;
2776;42.9208;1.5055;A2;H1;3.16;6.85;0.05;0;
2777;42.9215;1.6032;A2;H1;3.62;10.2;0.4;0;
2778;42.9221;1.701;A2;H1;3.47;8.05;0.45;0;
2779;42.9227;1.7988;A2;H1;4.52;17.05;0.65;0;
2780;42.9231;1.8966;A2;H1;4.87;19.75;0.85;0;
2781;42.9235;1.9943;A2;H1;5.65;28.05;1.15;0.05;
2782;42.9237;2.0921;A2;H1;5.73;28.9;1.4;0.05;
2783;42.9239;2.1899;A2;H1;6.76;38.2;3.4;0.3;
2784;42.924;2.2877;A2;H1;6.49;35;2.5;0.3;
2785;42.924;2.3855;A2;H1;5.42;24.2;0.85;0.1;
2786;42.9239;2.4833;A2;H1;6.99;38.25;3.2;0.1;
2787;42.9237;2.581;A2;H1;7.6;43.7;4.85;0.1;
2788;42.9235;2.6788;A2;H1;8.56;51.8;8.15;0.3;
2789;42.9231;2.7766;A2;H1;12.97;87.85;19.55;4.3;
2790;42.9227;2.8744;A2;H1;12.43;83.35;17.65;3.15;
2791;42.9221;2.9722;A2;H1;16.04;110.55;32.3;9.45;
2854;42.7086;9.1156;A2;H1;12.61;87.55;15.2;2.95;
2855;42.7023;9.2127;A2;H1;11.18;74.1;5.4;0.85;
2856;42.696;9.3097;A2;H1;10.7;67.45;5.95;0.85;
2857;42.6896;9.4067;A2;H1;8.07;37.1;2.95;0.15;
2895;42.9486;-0.8436;A2;H1;1.84;1.55;0;0;
2896;42.9515;-0.7458;A2;H1;1.84;1;0;0;
2897;42.9543;-0.6481;A2;H1;2.35;3.8;0.15;0;
2898;42.9569;-0.5503;A2;H1;2.18;3;0.1;0;
2899;42.9595;-0.4525;A2;H1;2.62;7.2;0.75;0;
2900;42.962;-0.3547;A2;H1;2.44;5.85;0.2;0;
2901;42.9645;-0.2569;A2;H1;2.68;5.85;0.55;0.1;
2902;42.9668;-0.1591;A2;H1;2.91;6.95;0.8;0.1;
2903;42.969;-0.0613;A2;H1;3.33;8.7;0.9;0.1;
2904;42.9712;0.0365;A2;H1;2.5;4.7;0.6;0.1;
2905;42.9732;0.1343;A2;H1;2.57;5.25;0.35;0;
2906;42.9752;0.2321;A2;H1;2.79;6.25;0.35;0;
2907;42.9771;0.33;A2;H1;2.55;5.45;0.75;0.1;
