#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
3251;43.0766;6.0145;A2;H1;-0.5;
3252;43.0732;6.1124;A2;H1;-0.5;
3285;42.9107;9.3357;A2;H1;-0.59;
3286;42.9043;9.433;A2;H1;-0.59;
3319;43.1483;-1.3459;A2;H1;-0.7;
3320;43.1517;-1.2479;A2;H1;-0.7;
3321;43.1549;-1.1498;A2;H1;-0.8;
3322;43.158;-1.0517;A2;H1;-0.7;
3323;43.1611;-0.9536;A2;H1;-0.8;
3324;43.164;-0.8555;A2;H1;-0.8;
3325;43.1669;-0.7574;A2;H1;-0.8;
3326;43.1697;-0.6593;A2;H1;-0.65;
3327;43.1724;-0.5611;A2;H1;-0.65;
3328;43.175;-0.463;A2;H1;-0.65;
3329;43.1775;-0.3648;A2;H1;-0.65;
3330;43.1799;-0.2667;A2;H1;-0.65;
3331;43.1823;-0.1685;A2;H1;-0.65;
3332;43.1845;-0.0703;A2;H1;-0.6;
3333;43.1867;0.0279;A2;H1;-0.77;
3334;43.1888;0.126;A2;H1;-0.77;
3335;43.1907;0.2242;A2;H1;-0.57;
3336;43.1926;0.3224;A2;H1;-0.75;
3337;43.1944;0.4207;A2;H1;-0.75;
3338;43.1961;0.5189;A2;H1;-0.75;
3339;43.1977;0.6171;A2;H1;-0.57;
3340;43.1993;0.7153;A2;H1;-0.73;
3341;43.2007;0.8136;A2;H1;-0.73;
3342;43.2021;0.9118;A2;H1;-0.73;
3343;43.2033;1.01;A2;H1;-0.73;
3344;43.2045;1.1083;A2;H1;-0.73;
