Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
3397;43.1379;6.3132;A1B;H1;-1;
3398;43.1342;6.4112;A1B;H1;-1.01;
3428;42.9823;9.3444;A1B;H1;-0.63;
3462;43.2201;-1.3505;A1B;H1;-0.76;
3463;43.2235;-1.2523;A1B;H1;-0.76;
3464;43.2267;-1.1541;A1B;H1;-0.81;
3465;43.2298;-1.0559;A1B;H1;-0.81;
3466;43.2329;-0.9577;A1B;H1;-0.81;
3467;43.2359;-0.8595;A1B;H1;-0.81;
3468;43.2387;-0.7613;A1B;H1;-0.81;
3469;43.2415;-0.663;A1B;H1;-0.66;
3470;43.2442;-0.5647;A1B;H1;-0.66;
3471;43.2468;-0.4665;A1B;H1;-0.66;
3472;43.2494;-0.3682;A1B;H1;-0.66;
3473;43.2518;-0.2699;A1B;H1;-0.66;
3474;43.2541;-0.1716;A1B;H1;-0.66;
3475;43.2564;-0.0733;A1B;H1;-0.47;
3476;43.2585;0.025;A1B;H1;-0.44;
3477;43.2606;0.1233;A1B;H1;-0.44;
3478;43.2626;0.2216;A1B;H1;-0.28;
3479;43.2645;0.3199;A1B;H1;-0.28;
3480;43.2663;0.4183;A1B;H1;-0.28;
3481;43.268;0.5166;A1B;H1;-0.28;
